CUST_DC_STATE,CUST_DC_COUNTRY,CUST_DC_CITY,CUST_DC_LATITUDE,CUST_DC_LONGITUDE,NEAREST_SBD_DC_LAT,NEAREST_SBD_DC_LONG,SBD_DC_LOC_ID,SBD_DC_LOC_NAME,SBD_DC_SHP_CITY_PSTL_CD,SBD_DC_SHP_CITY_NAME,SBD_DC_SHP_STATE,LATITUDE_Y,LONGITUDE_Y
 TX, USA,HOUSTON,29.76,-95.37,33.13,-97.27,162,Northlake DC,76262,Northlake,TX,33.13,-97.27
 TX, USA,DALLAS,32.78,-96.8,33.13,-97.27,162,Northlake DC,76262,Northlake,TX,33.13,-97.27
 TX, USA,DENTON,33.18,-97.14,33.13,-97.27,162,Northlake DC,76262,Northlake,TX,33.13,-97.27
 TX, USA,MOUNT VERNON,33.19,-95.22,33.13,-97.27,162,Northlake DC,76262,Northlake,TX,33.13,-97.27
 OK, USA,ADA,34.77,-96.68,33.13,-97.27,162,Northlake DC,76262,Northlake,TX,33.13,-97.27
 AB, USA,CALGARY,31.62,-94.12,33.13,-97.27,162,Northlake DC,76262,Northlake,TX,33.13,-97.27
 GA, USA,LOCUST GROVE,33.35,-84.11,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 GA, USA,MCDONOUGH,33.45,-84.15,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 FL, USA,KISSIMMEE,28.29,-81.47,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 FL, USA,HIALEAH,25.86,-80.28,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 GA, USA,VALDOSTA,30.83,-83.28,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 SC, USA,WEST COLUMBIA,33.99,-81.07,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 FL, USA,PLANT CITY,28.02,-82.12,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 GA, USA,LAKE PARK,30.68,-83.18,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 GA, USA,HARTWELL,34.35,-82.93,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 GA, USA,TOCCOA,34.58,-83.33,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 AL, USA,MC CALLA,33.61,-83.99,35.01,-80.95,155,FT. MILL BLACK & DECKER CORP,29715,Ft. Mill,SC,35.01,-80.95
 WY, USA,CHEYENNE,41.14,-104.82,38.71,-93.23,120,Sedalia DC,65301,Sedalia,MO,38.71,-93.23
 IL, USA,ROCKFORD,42.27,-89.09,38.71,-93.23,120,Sedalia DC,65301,Sedalia,MO,38.71,-93.23
 KS, USA,TOPEKA,39.05,-95.68,38.71,-93.23,120,Sedalia DC,65301,Sedalia,MO,38.71,-93.23
 IL, USA,NORTHLAKE,41.92,-87.9,38.71,-93.23,120,Sedalia DC,65301,Sedalia,MO,38.71,-93.23
 IL, USA,JOLIET,41.53,-88.08,38.71,-93.23,120,Sedalia DC,65301,Sedalia,MO,38.71,-93.23
 MO, USA,MEXICO,39.17,-91.88,38.71,-93.23,120,Sedalia DC,65301,Sedalia,MO,38.71,-93.23
 ND, USA,FARGO,46.88,-96.79,38.71,-93.23,120,Sedalia DC,65301,Sedalia,MO,38.71,-93.23
 AZ, USA,PHOENIX,33.45,-112.07,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 OR, USA,SALEM,44.94,-123.03,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 CA, USA,PERRIS,33.78,-117.23,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 CA, USA,ONTARIO,34.07,-117.65,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 NV, USA,SPARKS,39.54,-119.75,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 CA, USA,REDLANDS,34.06,-117.18,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 CA, USA,TRACY,37.74,-121.42,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 WA, USA,LACEY,47.03,-122.81,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 AZ, USA,TOLLESON,33.45,-112.26,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 OR, USA,LEBANON,44.54,-122.91,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 AB, Canada,ROCKY VIEW COUNTY,51.37,-114.01,34.09,-117.43,164,Fontana DC Black & Decker Inc.,92337,Fontana,CA,34.09,-117.43
 NC, USA,STATESVILLE,35.78,-80.89,35.41,-80.58,703,Kannapolis DC,28027,Concord,NC,35.41,-80.58
 NC, USA,GARYSBURG,36.45,-77.56,35.41,-80.58,703,Kannapolis DC,28027,Concord,NC,35.41,-80.58
 MA, USA,TEWKSBURY,42.61,-71.23,42.06,-72.51,134,East Longmeadow DC,1028,East Longmeadow,MA,42.06,-72.51
 MA, USA,FALL RIVER,41.7,-71.15,42.06,-72.51,134,East Longmeadow DC,1028,East Longmeadow,MA,42.06,-72.51
 MA, USA,WESTFIELD,42.12,-72.75,42.06,-72.51,134,East Longmeadow DC,1028,East Longmeadow,MA,42.06,-72.51
 NJ, USA,PERTH AMBOY,40.52,-74.27,42.06,-72.51,134,East Longmeadow DC,1028,East Longmeadow,MA,42.06,-72.51
 CT, USA,PLAINFIELD,41.68,-71.92,42.06,-72.51,134,East Longmeadow DC,1028,East Longmeadow,MA,42.06,-72.51
 VA, USA,CHESAPEAKE,36.72,-76.25,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 PA, USA,PITTSTON,41.33,-75.79,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 OH, USA,FINDLAY,41.04,-83.65,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 MD, USA,HAGERSTOWN,39.64,-77.72,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 PA, USA,PITTSTON TOWNSHIP,41.3,-75.73,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 VA, USA,WINCHESTER,39.19,-78.17,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 PA, USA,MINERSVILLE,40.69,-76.26,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 MD, USA,SPARROWS POINT,39.22,-76.48,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 OH, USA,WEST JEFFERSON,39.94,-83.27,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 PA, USA,BREINIGSVILLE,40.54,-75.63,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 OH, USA,LUCKEY,41.45,-83.49,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 PA, USA,SHIPPENSBURG,40.05,-77.52,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 OH, USA,MONROE,39.72,-81.11,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 OH, USA,VAN BUREN,41.14,-83.65,39.64,-77.72,166,Hagerstown DC,21740,Hagerstown,MD,39.64,-77.72
 TN, USA,PLEASANT VIEW,36.39,-87.04,36.39,-86.45,605,Gallatin DC,37066,Gallatin,TN,36.39,-86.45
 GA, USA,EAST POINT,33.68,-84.44,36.39,-86.45,605,Gallatin DC,37066,Gallatin,TN,36.39,-86.45
 IN, USA,PLAINFIELD,39.7,-86.4,36.39,-86.45,605,Gallatin DC,37066,Gallatin,TN,36.39,-86.45
 GA, USA,ADAIRSVILLE,34.37,-84.93,36.39,-86.45,605,Gallatin DC,37066,Gallatin,TN,36.39,-86.45
 IN, USA,NORTH VERNON,39.01,-85.62,36.39,-86.45,605,Gallatin DC,37066,Gallatin,TN,36.39,-86.45
 MS, USA,BROOKHAVEN,31.58,-90.44,34.12,-88.71,362,Tupelo DC,38868,Shannon,MS,34.12,-88.71
