UCH_LEVEL_E,UCH_LEVEL_E_DESC,UCH_LEVEL_G,UCH_LEVEL_G_DESC
CA2000287,LOBLAWS,CA4001088,LCL MARKET
CA2000971,CALGARY CO-OP,CA4001303,CALGARY CO-OP
CA2000281,QUALITY FOODS,CA4000358,QUALITY FOODS
CA2000301,METRO CANADA,CA4001316,FOOD BASICS BANNER
CA2000341,SOBEYS,CA4001311,THIRFTY FOODS BANNER
CA2000341,SOBEYS,CA4000405,IGA QUEBEC BANNER
CA2000248,FEDERATED CO-OP,CA4000331,FEDERATED CO-OP BANNER
CA2000287,LOBLAWS,CA4001090,NO FRILLS NATIONAL BANNER
CA2000301,METRO CANADA,CA4001314,SUPER C BANNER
CA2000358,WAL-MART CANADA,CA4000400,WAL-MART CANADA BANNER
CA2000341,SOBEYS,CA4001319,SOBEYS QUEBEC SMALL BANNERS
CA2000341,SOBEYS,CA4000301,SOBEYS NATIONAL BANNER
CA2000301,METRO CANADA,CA4000314,METRO ONTARIO BANNER
CA2000318,PASQUIER INC,CA4000397,PASQUIER INC
CA2000295,SDM,CA4000431,SDM BANNER
CA2000287,LOBLAWS,CA4001093,WHOLESALE BANNERS
CA2000287,LOBLAWS,CA4001085,FORTINOS BANNER
CA2000287,LOBLAWS,CA4001089,MAXI BANNER
CA2000261,H.Y. LOUIE WHOLESALE,CA4000334,H.Y. LOUIE WHOLESALE
CA2000341,SOBEYS,CA4000404,FOODLAND NATIONAL BANNER
CA2000316,SAVE ON FOODS,CA4000333,SAVE ON FOODS BANNER
CA2000341,SOBEYS,CA4000406,FRESCHO BANNER
CA2000341,SOBEYS,CA4001346,VOILA ex QUEBEC
CA2000287,LOBLAWS,CA4001092,RCSS ONTARIO
CA2000287,LOBLAWS,CA4001084,RCSS WEST INCL EXTRA FOODS
CA2000229,COSTCO WHOLESALE,CA4000428,COSTCO EAST BANNER
CA2000301,METRO CANADA,CA4000302,METRO QUEBEC BANNER
CA2000229,COSTCO WHOLESALE,CA4000395,COSTCO WEST BANNER